,BoundingBox_Width,BoundingBox_Height,BoundingBox_Left,BoundingBox_Top,AgeRange_Low,AgeRange_High,Smile_Value,Smile_Confidence,Eyeglasses_Value,Eyeglasses_Confidence,Sunglasses_Value,Sunglasses_Confidence,Gender_Value,Gender_Confidence,Beard_Value,Beard_Confidence,Mustache_Value,Mustache_Confidence,EyesOpen_Value,EyesOpen_Confidence,MouthOpen_Value,MouthOpen_Confidence,Emotions_HAPPY_Confidence,Emotions_CALM_Confidence,Emotions_CONFUSED_Confidence,Emotions_SURPRISED_Confidence,Emotions_DISGUSTED_Confidence,Emotions_SAD_Confidence,Emotions_ANGRY_Confidence,Emotions_FEAR_Confidence,Landmarks_eyeLeft_X,Landmarks_eyeLeft_Y,Landmarks_eyeRight_X,Landmarks_eyeRight_Y,Landmarks_mouthLeft_X,Landmarks_mouthLeft_Y,Landmarks_mouthRight_X,Landmarks_mouthRight_Y,Landmarks_nose_X,Landmarks_nose_Y,Landmarks_leftEyeBrowLeft_X,Landmarks_leftEyeBrowLeft_Y,Landmarks_leftEyeBrowRight_X,Landmarks_leftEyeBrowRight_Y,Landmarks_leftEyeBrowUp_X,Landmarks_leftEyeBrowUp_Y,Landmarks_rightEyeBrowLeft_X,Landmarks_rightEyeBrowLeft_Y,Landmarks_rightEyeBrowRight_X,Landmarks_rightEyeBrowRight_Y,Landmarks_rightEyeBrowUp_X,Landmarks_rightEyeBrowUp_Y,Landmarks_leftEyeLeft_X,Landmarks_leftEyeLeft_Y,Landmarks_leftEyeRight_X,Landmarks_leftEyeRight_Y,Landmarks_leftEyeUp_X,Landmarks_leftEyeUp_Y,Landmarks_leftEyeDown_X,Landmarks_leftEyeDown_Y,Landmarks_rightEyeLeft_X,Landmarks_rightEyeLeft_Y,Landmarks_rightEyeRight_X,Landmarks_rightEyeRight_Y,Landmarks_rightEyeUp_X,Landmarks_rightEyeUp_Y,Landmarks_rightEyeDown_X,Landmarks_rightEyeDown_Y,Landmarks_noseLeft_X,Landmarks_noseLeft_Y,Landmarks_noseRight_X,Landmarks_noseRight_Y,Landmarks_mouthUp_X,Landmarks_mouthUp_Y,Landmarks_mouthDown_X,Landmarks_mouthDown_Y,Landmarks_leftPupil_X,Landmarks_leftPupil_Y,Landmarks_rightPupil_X,Landmarks_rightPupil_Y,Landmarks_upperJawlineLeft_X,Landmarks_upperJawlineLeft_Y,Landmarks_midJawlineLeft_X,Landmarks_midJawlineLeft_Y,Landmarks_chinBottom_X,Landmarks_chinBottom_Y,Landmarks_midJawlineRight_X,Landmarks_midJawlineRight_Y,Landmarks_upperJawlineRight_X,Landmarks_upperJawlineRight_Y,Pose_Roll,Pose_Yaw,Pose_Pitch,Quality_Brightness,Quality_Sharpness,Confidence,FaceOccluded_Value,FaceOccluded_Confidence,EyeDirection_Yaw,EyeDirection_Pitch,EyeDirection_Confidence
63.jpg,0.5591294169425964,0.81276535987854,0.1963326334953308,0.11913570761680603,27,35,True,86.25394439697266,False,99.99996948242188,False,100.0,Male,99.93219757080078,True,99.99930572509766,True,99.07575988769531,True,98.29657745361328,False,82.33412170410156,88.28125,0.757598876953125,0.4024505615234375,0.004336237907409668,0.0011205673217773438,0.00019669532775878906,0.0001251697540283203,0.0,0.37654775381088257,0.4743868112564087,0.6254215836524963,0.4714256525039673,0.391918420791626,0.7366200685501099,0.6000806093215942,0.733771026134491,0.519449770450592,0.6416046619415283,0.27636224031448364,0.40372535586357117,0.4368560314178467,0.4050179123878479,0.36106324195861816,0.38658732175827026,0.5787614583969116,0.4038659632205963,0.7084817290306091,0.3990156650543213,0.647107720375061,0.3840579688549042,0.3290894627571106,0.4697391986846924,0.4251866638660431,0.47579583525657654,0.37698256969451904,0.46243956685066223,0.37704548239707947,0.48584774136543274,0.5752981901168823,0.4740978479385376,0.6663550734519958,0.4658242166042328,0.6267186999320984,0.45960724353790283,0.6236077547073364,0.4828992187976837,0.45847249031066895,0.652692973613739,0.5506032109260559,0.6517613530158997,0.5053812265396118,0.7169914841651917,0.5008544921875,0.7915068864822388,0.37654775381088257,0.4743868112564087,0.6254215836524963,0.4714256525039673,0.1943463385105133,0.43369925022125244,0.24499790370464325,0.7219253778457642,0.48937326669692993,0.9141224026679993,0.6851250529289246,0.7176748514175415,0.7359756827354431,0.4285164475440979,0.12645353376865387,7.086041450500488,-10.721929550170898,80.54524993896484,96.61495208740234,99.9990005493164,False,99.9720458984375,-0.4703258275985718,-0.6705887317657471,99.9893569946289
189.jpg,0.5543224811553955,0.8252916932106018,0.23691105842590332,0.11651306599378586,51,59,True,99.78197479248047,True,99.99983215332031,False,99.99980163574219,Male,99.87161254882812,False,98.35711669921875,False,99.99092102050781,True,98.75910186767578,True,96.41651916503906,100.0,0.010150671005249023,5.9604644775390625e-05,0.0,0.0,0.0,0.0,0.0,0.3711034059524536,0.46851846575737,0.6240097880363464,0.4710042476654053,0.39016714692115784,0.7334612011909485,0.6007973551750183,0.7353433966636658,0.49188801646232605,0.6130635142326355,0.27907517552375793,0.40337514877319336,0.42300945520401,0.3898128271102905,0.35066357254981995,0.3745974004268646,0.5675103068351746,0.3910050392150879,0.718589186668396,0.4074079692363739,0.6418848037719727,0.37714362144470215,0.3265751004219055,0.46609213948249817,0.4210355579853058,0.4708048701286316,0.3701694905757904,0.45498180389404297,0.372068852186203,0.4797106087207794,0.5737083554267883,0.47228989005088806,0.6691474318504333,0.4693724811077118,0.623978853225708,0.45738938450813293,0.6224549412727356,0.4821060001850128,0.4468759596347809,0.6392161250114441,0.5403162240982056,0.6400591731071472,0.4928114414215088,0.7027652263641357,0.4930194616317749,0.7816146612167358,0.3711034059524536,0.46851846575737,0.6240097880363464,0.4710042476654053,0.2283683568239212,0.4639084041118622,0.2775682806968689,0.7517374157905579,0.4942626357078552,0.9174397587776184,0.7250645160675049,0.7560076713562012,0.7797627449035645,0.46898382902145386,-0.9338107705116272,-3.5618996620178223,3.3930604457855225,81.07615661621094,98.08562469482422,99.99921417236328,False,99.93407440185547,1.3398196697235107,1.642491102218628,99.99224853515625
77.jpg,0.5590108036994934,0.770532488822937,0.22468262910842896,0.17564871907234192,30,38,True,99.99703979492188,False,99.7738265991211,False,99.99993896484375,Male,99.3001937866211,False,88.63429260253906,False,99.8581314086914,True,96.86260223388672,True,99.9808578491211,100.0,5.9604644775390625e-06,0.00017881393432617188,0.00014901161193847656,2.384185791015625e-05,0.0,0.00011920928955078125,0.0,0.37344416975975037,0.47029179334640503,0.6297871470451355,0.47373077273368835,0.39029157161712646,0.7385258674621582,0.6039969325065613,0.741113007068634,0.5049100518226624,0.6048935055732727,0.27659866213798523,0.40977275371551514,0.429909348487854,0.38726291060447693,0.354812353849411,0.3739188611507416,0.5765505433082581,0.3892294764518738,0.7216877937316895,0.4155639111995697,0.6500591039657593,0.3778892755508423,0.3268977701663971,0.4696141481399536,0.42378753423690796,0.473264217376709,0.3730509579181671,0.456133097410202,0.3742290437221527,0.48195961117744446,0.5785524845123291,0.4753554165363312,0.673977792263031,0.47419223189353943,0.6303256154060364,0.45955580472946167,0.6279388070106506,0.4852866232395172,0.45219478011131287,0.6396970748901367,0.5468196272850037,0.6409091353416443,0.4990849494934082,0.7030393481254578,0.4968843162059784,0.7851726412773132,0.37344416975975037,0.47029179334640503,0.6297871470451355,0.47373077273368835,0.2119051069021225,0.4866257309913635,0.26129475235939026,0.7756595611572266,0.4921545088291168,0.9283530712127686,0.713800311088562,0.7815958261489868,0.7700279951095581,0.493987500667572,0.37983447313308716,1.9534573554992676,11.235441207885742,80.83183288574219,94.08262634277344,99.99932861328125,False,99.9366455078125,-2.250748634338379,0.9389451146125793,99.98039245605469
604.jpg,0.5518360733985901,0.7484596967697144,0.252188503742218,0.18459782004356384,33,41,True,99.99701690673828,True,99.98991394042969,False,99.94388580322266,Male,99.99998474121094,True,74.54750061035156,False,97.43964385986328,True,98.74443054199219,True,99.98870086669922,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3712148070335388,0.4638941287994385,0.6198855638504028,0.4673675000667572,0.3875603973865509,0.7169350981712341,0.5944815278053284,0.7205357551574707,0.45610377192497253,0.5681361556053162,0.29252269864082336,0.41405126452445984,0.4110146164894104,0.3769703507423401,0.34603601694107056,0.36859601736068726,0.5532721281051636,0.37824779748916626,0.723842442035675,0.4193301796913147,0.6323280930519104,0.3715379238128662,0.33181458711624146,0.4659683108329773,0.4203396141529083,0.46676480770111084,0.36867576837539673,0.44923844933509827,0.37203821539878845,0.4746568500995636,0.570469081401825,0.46871480345726013,0.6681357026100159,0.4707004129886627,0.6181306838989258,0.452547550201416,0.6178812384605408,0.4781806170940399,0.4317300617694855,0.6151575446128845,0.5231716632843018,0.6165230870246887,0.4733687937259674,0.6732962131500244,0.477493554353714,0.7543861269950867,0.3712148070335388,0.4638941287994385,0.6198855638504028,0.4673675000667572,0.28122198581695557,0.5141714215278625,0.32227370142936707,0.7841776013374329,0.49231207370758057,0.9007368087768555,0.759903073310852,0.7901917099952698,0.8219868540763855,0.5203626751899719,-2.586010694503784,-10.051854133605957,12.797115325927734,80.62378692626953,98.564208984375,99.99971008300781,False,99.9397964477539,0.09067044407129288,-5.792603969573975,99.99214935302734
162.jpg,0.5317283272743225,0.8069068193435669,0.2681981921195984,0.15677982568740845,31,39,False,99.9080810546875,False,99.99999237060547,False,100.0,Male,99.99592590332031,True,99.99911499023438,True,90.14955139160156,True,94.17493438720703,False,97.4535903930664,0.002584854606539011,71.13671875,17.17529296875,0.6003379821777344,3.5762786865234375e-05,0.02090930938720703,0.00017881393432617188,5.9604644775390625e-06,0.3813791871070862,0.4684150218963623,0.6160750389099121,0.46675801277160645,0.3979511559009552,0.7388185262680054,0.5929118990898132,0.7379330992698669,0.46669092774391174,0.5972838997840881,0.3035218417644501,0.4114779531955719,0.4193798005580902,0.38308048248291016,0.3565019965171814,0.3721260726451874,0.554656982421875,0.3816884160041809,0.7131614089012146,0.4082449674606323,0.6289013624191284,0.36962518095970154,0.3429116904735565,0.4691126346588135,0.4275318682193756,0.4705175459384918,0.37882354855537415,0.45399972796440125,0.3818216025829315,0.4799645245075226,0.569414496421814,0.46942251920700073,0.6615058183670044,0.4670204818248749,0.6148154735565186,0.4522601068019867,0.614513099193573,0.4784572422504425,0.4404183030128479,0.6344947218894958,0.5278857350349426,0.6340798735618591,0.48104187846183777,0.696916937828064,0.48470133543014526,0.7795232534408569,0.3813791871070862,0.4684150218963623,0.6160750389099121,0.46675801277160645,0.28597956895828247,0.49537742137908936,0.32692405581474304,0.7808752059936523,0.4975118339061737,0.9238133430480957,0.746367335319519,0.7785406112670898,0.8016759157180786,0.4912276864051819,-1.0069456100463867,-8.896584510803223,6.378101348876953,77.53756713867188,96.61495208740234,99.99961853027344,False,99.96067810058594,-5.1894307136535645,1.627035140991211,99.96359252929688
176.jpg,0.5593044757843018,0.7042213678359985,0.21283650398254395,0.21123006939888,25,33,True,99.97200012207031,False,99.99703216552734,False,99.99994659423828,Female,99.99597930908203,False,99.99922180175781,False,100.0,True,98.33262634277344,True,99.44955444335938,100.0,0.0006079673767089844,0.00038743019104003906,0.0001341104507446289,0.0,0.0,1.7881393432617188e-05,0.0,0.37328943610191345,0.4733070731163025,0.6215245723724365,0.4721265733242035,0.39667657017707825,0.7199050784111023,0.6045205593109131,0.7190850377082825,0.49909523129463196,0.6083716750144958,0.2797093093395233,0.4155419170856476,0.4240652322769165,0.40040501952171326,0.3522286117076874,0.38715481758117676,0.5654154419898987,0.39957964420318604,0.7092878222465515,0.4128611087799072,0.6367539763450623,0.38542047142982483,0.3289589583873749,0.47201138734817505,0.42201724648475647,0.4754445552825928,0.37234604358673096,0.4610026180744171,0.3742453157901764,0.48439350724220276,0.5717127323150635,0.4746779799461365,0.6646780967712402,0.4702591598033905,0.6212385892868042,0.45973923802375793,0.6197879910469055,0.4831423759460449,0.45191091299057007,0.6343936324119568,0.5431584119796753,0.6338359117507935,0.49839887022972107,0.6931910514831543,0.4989871084690094,0.7677038311958313,0.37328943610191345,0.4733070731163025,0.6215245723724365,0.4721265733242035,0.22561445832252502,0.47303298115730286,0.2803589999675751,0.7423906922340393,0.5003372430801392,0.8950785398483276,0.715375542640686,0.7391669750213623,0.7629389762878418,0.4693082571029663,-0.38516438007354736,0.3910118043422699,3.564892053604126,75.7636489868164,94.08262634277344,99.99835205078125,False,99.9645767211914,-3.011216402053833,2.9043397903442383,99.98957824707031
88.jpg,0.5624901652336121,0.779621958732605,0.2251787781715393,0.1555783599615097,25,33,False,99.9161376953125,False,99.9998779296875,False,100.0,Male,99.75271606445312,True,99.69463348388672,False,81.87931823730469,True,98.16173553466797,False,99.6464614868164,5.9604644775390625e-06,100.0,0.0028848648071289062,0.0,0.0,0.01398324966430664,7.748603820800781e-05,0.0,0.3777538537979126,0.46913665533065796,0.6191396713256836,0.4686785340309143,0.3946971595287323,0.7359314560890198,0.5953918099403381,0.7356165647506714,0.4853106737136841,0.5987775921821594,0.2912731170654297,0.4112209975719452,0.42426595091819763,0.38528525829315186,0.35618385672569275,0.3736242949962616,0.5629591345787048,0.3848855495452881,0.7118024230003357,0.4103357791900635,0.6354874968528748,0.37295764684677124,0.33579957485198975,0.4693221151828766,0.4251612424850464,0.47129905223846436,0.3762950897216797,0.4549376964569092,0.37834998965263367,0.4805474877357483,0.571021318435669,0.47100600600242615,0.6631370186805725,0.4687820374965668,0.6188328862190247,0.45446300506591797,0.617507815361023,0.4801471531391144,0.4461098313331604,0.6345571279525757,0.5357092618942261,0.6344960927963257,0.4893490672111511,0.6966183185577393,0.4901184141635895,0.778076708316803,0.3777538537979126,0.46913665533065796,0.6191396713256836,0.4686785340309143,0.2497759610414505,0.4910469949245453,0.29498764872550964,0.7752062678337097,0.49404147267341614,0.9203662872314453,0.7243167757987976,0.7748814821243286,0.7783215641975403,0.49004730582237244,-1.4420809745788574,-3.1310622692108154,8.911710739135742,94.18702697753906,96.61495208740234,99.99861907958984,False,99.77587890625,-7.930628776550293,2.1380069255828857,99.98851013183594
348.jpg,0.5211151838302612,0.7996794581413269,0.265639066696167,0.13599781692028046,32,40,True,99.9903335571289,False,100.0,False,100.0,Male,99.99848937988281,False,60.886138916015625,False,99.31388854980469,True,55.187870025634766,True,99.98741149902344,100.0,7.152557373046875e-05,0.0005424022674560547,2.9802322387695312e-05,0.0,0.0,5.9604644775390625e-06,0.0,0.38112327456474304,0.4650660753250122,0.6191031336784363,0.47101694345474243,0.40180811285972595,0.7101001739501953,0.6007251739501953,0.7156638503074646,0.4782187342643738,0.6160100698471069,0.2999403774738312,0.3993304371833801,0.42292502522468567,0.3987705707550049,0.35812389850616455,0.3811810314655304,0.5585419535636902,0.4014374315738678,0.7128281593322754,0.4084237813949585,0.6314327716827393,0.386698454618454,0.34149235486984253,0.460452139377594,0.4280984401702881,0.4681384563446045,0.3791840672492981,0.45345351099967957,0.3819124698638916,0.4757199287414551,0.5716416239738464,0.47156983613967896,0.6637558937072754,0.4682455062866211,0.6179134845733643,0.45917969942092896,0.6175392270088196,0.48151975870132446,0.4468430280685425,0.6307575106620789,0.5346904397010803,0.6327148675918579,0.48912888765335083,0.6914852857589722,0.4924820363521576,0.7625501155853271,0.38112327456474304,0.4650660753250122,0.6191031336784363,0.47101694345474243,0.27453479170799255,0.43761059641838074,0.3201525807380676,0.7075278162956238,0.5027555227279663,0.881840169429779,0.7398940920829773,0.7160416841506958,0.7917840480804443,0.4480772316455841,-2.400322437286377,-6.917263507843018,-0.77010577917099,58.51346969604492,97.45164489746094,99.99982452392578,False,99.94678497314453,-3.0972206592559814,-6.852077960968018,99.71992492675781
360.jpg,0.585974931716919,0.8264169096946716,0.26159512996673584,0.130656898021698,23,31,True,99.75494384765625,False,99.99994659423828,False,100.0,Female,99.95997619628906,False,99.7859878540039,False,99.9998779296875,True,98.64203643798828,True,98.73220825195312,100.0,0.0005066394805908203,7.152557373046875e-05,1.4901161193847656e-05,5.9604644775390625e-06,0.0,2.384185791015625e-05,0.0,0.3711884319782257,0.46396851539611816,0.6231130361557007,0.4718610942363739,0.3918490409851074,0.7240037322044373,0.6016758680343628,0.7313398122787476,0.45557937026023865,0.6022894382476807,0.29274222254753113,0.4006587564945221,0.4098736047744751,0.38583293557167053,0.3446216583251953,0.3707816004753113,0.5537247657775879,0.3891941010951996,0.7301027774810791,0.4129144847393036,0.6344485282897949,0.37800607085227966,0.33178675174713135,0.46154138445854187,0.42126697301864624,0.4674404263496399,0.36835145950317383,0.4504231810569763,0.3722476661205292,0.47497767210006714,0.5733162760734558,0.47198835015296936,0.6728255748748779,0.4719860553741455,0.621092677116394,0.4579857289791107,0.621539294719696,0.4827299416065216,0.4336714744567871,0.6310414671897888,0.5265539884567261,0.6337423324584961,0.47648659348487854,0.6938359141349792,0.48239001631736755,0.7723556160926819,0.3711884319782257,0.46396851539611816,0.6231130361557007,0.4718610942363739,0.2873243987560272,0.4674619436264038,0.3309062719345093,0.7500552535057068,0.5006751418113708,0.9089508652687073,0.775574803352356,0.7623405456542969,0.8357833027839661,0.4818100333213806,0.02220585010945797,-10.644051551818848,1.7853823900222778,86.32829284667969,92.22801208496094,99.99849700927734,False,99.89060974121094,-2.09804368019104,3.510122299194336,99.99151611328125
406.jpg,0.5809210538864136,0.712594747543335,0.17662453651428223,0.19811241328716278,5,9,True,99.76013946533203,False,99.99984741210938,False,99.99996948242188,Female,98.3712387084961,False,99.9882583618164,False,99.99990844726562,True,97.00904083251953,True,95.39574432373047,100.0,5.9604644775390625e-06,5.9604644775390625e-06,4.470348358154297e-05,0.0,0.0,0.0,0.0,0.37480804324150085,0.46992227435112,0.6212335824966431,0.4649941027164459,0.4004238247871399,0.7179209589958191,0.6066311597824097,0.7132961750030518,0.5307122468948364,0.600479245185852,0.2705652415752411,0.414226233959198,0.43469420075416565,0.39455628395080566,0.3577006757259369,0.38278499245643616,0.5752330422401428,0.39209264516830444,0.6974945664405823,0.4054306149482727,0.6405952572822571,0.37752315402030945,0.3268264830112457,0.46971940994262695,0.4229601323604584,0.4712599813938141,0.3752164840698242,0.45737171173095703,0.37586262822151184,0.48106932640075684,0.571628987789154,0.4683375358581543,0.6602482199668884,0.4628281593322754,0.622390866279602,0.4524441361427307,0.619683563709259,0.475992888212204,0.4654455780982971,0.6293709874153137,0.5561806559562683,0.6273712515830994,0.5147796869277954,0.6874922513961792,0.5117513537406921,0.762823760509491,0.37480804324150085,0.46992227435112,0.6212335824966431,0.4649941027164459,0.18155263364315033,0.4763396084308624,0.24355392158031464,0.7459109425544739,0.5008981227874756,0.8921514749526978,0.6763725876808167,0.736325740814209,0.7158912420272827,0.4654143452644348,0.9231353402137756,8.190034866333008,3.2992773056030273,83.900146484375,96.61495208740234,99.99798583984375,False,99.84685516357422,0.19211676716804504,-1.5645959377288818,99.98130798339844
