Attribute,EMD Img 0,Scaled_EMD Img 0,EMD Img 1,Scaled_EMD Img 1,Lasso_EMD,Lasso MSE,Frozen Resnet + Linear Avg MSE,All Test Images - MSE Ratio in %
trustworthy,0.00055,1.12961,0.00052,0.48626,0.18898,41.74153,70.15025,1.87877
attractive,0.00048,1.01433,0.00049,0.57933,0.29511,87.54041,81.92892,2.73347
dominant,0.0006,0.87656,0.00058,0.29776,0.2615,66.16377,82.69952,3.43502
smart,0.00041,0.85539,0.00043,0.44649,0.19774,64.06751,64.56254,1.95245
age,0.00057,0.76134,0.00057,0.45669,0.31211,58.40289,54.99495,3.94939
gender,0.00113,0.84173,0.00116,0.26476,0.89593,201.57732,134.7222,4.14626
weight,0.00059,0.86862,0.00058,0.55657,0.2572,61.55532,115.3886,5.05302
typical,0.00046,1.00346,0.00038,0.21399,0.16259,70.16747,81.09746,2.32301
happy,0.0009,1.28227,0.00097,0.35457,0.20526,50.25155,185.62468,5.1947
familiar,0.00039,1.03101,0.00037,0.29514,0.11338,61.64271,68.13922,3.80311
outgoing,0.00067,1.22008,0.00075,0.56069,0.15231,34.7469,101.87539,3.13342
memorable,0.00035,1.02227,0.00034,0.57801,0.17422,48.15303,54.46435,2.40248
well-groomed,0.00052,0.88137,0.0005,0.55925,0.23736,92.38093,86.26376,1.7851
long-haired,0.00108,1.05127,0.00084,0.44695,0.7339,207.63934,83.47293,3.61651
smug,0.00068,1.09217,0.00067,0.17507,0.26787,61.85285,96.31668,5.82029
dorky,0.0006,0.7608,0.00066,0.15837,0.39452,118.93583,136.0913,10.97617
skin-color,0.00045,0.67823,0.00047,0.41426,0.47387,97.44462,83.7564,8.49738
hair-color,0.00113,0.911,0.00104,0.82693,1.24852,454.71669,144.63545,3.49354
alert,0.00051,1.1539,0.00046,0.51624,0.12972,39.0523,70.7941,2.03937
cute,0.00066,0.88976,0.00063,0.60927,0.39988,79.55355,92.15297,3.30233
privileged,0.00041,1.01697,0.0004,0.2863,0.24239,92.41276,78.01447,2.19233
liberal,0.00061,0.85244,0.00051,0.39277,0.25721,75.71266,76.98351,2.66148
asian,0.00101,0.59614,0.0009,0.25152,1.41306,360.31746,338.11961,21.68945
middle-eastern,0.00106,0.81209,0.00096,0.25274,0.75242,255.96499,219.51222,14.06355
hispanic,0.00111,0.80833,0.00105,0.16155,0.79055,333.24903,275.32441,15.35109
islander,0.00097,0.84684,0.00092,0.19997,0.9765,238.34116,199.91766,14.65859
native,0.00084,0.66767,0.00085,0.18921,0.81299,215.71001,172.30553,16.13711
black,0.00025,0.90887,0.00028,0.60159,0.62097,147.88346,91.74555,20.13031
white,0.00146,0.91503,0.0016,0.17186,1.53489,348.63712,344.36415,6.65688
looks-like-you,0.0004,0.9444,0.00036,0.22999,0.10979,24.57759,38.09225,8.16728
gay,0.00066,0.88366,0.00061,0.44601,0.35776,178.49871,141.95147,11.35483
electable,0.00073,0.69882,0.00092,0.68221,0.49756,182.28183,156.69243,5.31123
godly,0.00049,1.17972,0.00045,0.55019,0.14484,64.17432,77.06662,2.10939
outdoors,0.00128,0.85305,0.00132,0.35597,1.37965,711.93491,187.29879,5.6801
