Attribute,EMD Img 0,Scaled_EMD Img 0,EMD Img 1,Scaled_EMD Img 1,Lasso_EMD,Lasso MSE,Transfer Avg MSE,All Test Images - MSE Ratio in %
trustworthy,1e-05,0.82877,1e-05,0.58653,0.18898,41.74153,179.30688,4.80221
attractive,0.0,0.87991,0.0,0.10288,0.29511,87.54041,159.656,5.32675
dominant,1e-05,1.26026,1e-05,0.75344,0.2615,66.16377,173.59401,7.21042
smart,1e-05,0.84964,1e-05,0.33413,0.19774,64.06751,91.37223,2.7632
age,3e-05,1.01439,3e-05,0.24777,0.31211,58.40289,233.39478,16.76092
gender,1e-05,0.73599,1e-05,0.33688,0.89593,201.57732,866.10526,26.65556
weight,1e-05,0.93615,1e-05,0.47891,0.2572,61.55532,136.97093,5.99814
typical,1e-05,0.57553,1e-05,0.20361,0.16259,70.16747,79.12047,2.26638
happy,1e-05,0.78223,1e-05,0.23204,0.20526,50.25155,415.30644,11.62234
familiar,1e-05,1.22759,1e-05,0.80858,0.11338,61.64271,67.86671,3.7879
outgoing,2e-05,0.67679,1e-05,0.41,0.15231,34.7469,215.27879,6.62141
memorable,0.0,0.85934,0.0,0.39843,0.17422,48.15303,64.21746,2.8327
well-groomed,2e-05,0.91884,2e-05,0.11314,0.23736,92.38093,128.52492,2.65963
long-haired,1e-05,0.71779,1e-05,0.2489,0.7339,207.63934,513.97148,22.26808
smug,1e-05,1.29317,1e-05,0.76901,0.26787,61.85285,178.06947,10.76051
dorky,1e-05,1.07748,1e-05,0.49924,0.39452,118.93583,171.70023,13.84814
skin-color,0.0,0.70802,0.0,0.33253,0.47387,97.44462,117.35544,11.90612
hair-color,1e-05,0.80013,1e-05,0.16274,1.24852,454.71669,312.013,7.53639
alert,1e-05,0.54288,1e-05,0.55491,0.12972,39.0523,81.21913,2.33969
cute,2e-05,1.01356,2e-05,0.56832,0.39988,79.55355,342.95026,12.28974
privileged,2e-05,0.63601,2e-05,0.0992,0.24239,92.41276,121.55621,3.41592
liberal,1e-05,0.81346,1e-05,0.11933,0.25721,75.71266,111.06297,3.83967
asian,1e-05,1.09791,1e-05,0.50742,1.41306,360.31746,847.4423,54.3611
middle-eastern,1e-05,0.74767,1e-05,0.10633,0.75242,255.96499,405.25106,25.96333
hispanic,1e-05,1.00124,1e-05,0.43915,0.79055,333.24903,396.04837,22.08222
islander,1e-05,0.85013,1e-05,0.24909,0.9765,238.34116,446.60622,32.74657
native,1e-05,0.38493,1e-05,0.65698,0.81299,215.71001,344.79104,32.29108
black,1e-05,0.62015,1e-05,0.27992,0.62097,147.88346,308.59145,67.70945
white,1e-05,1.10955,1e-05,0.66448,1.53489,348.63712,887.99463,17.16576
looks-like-you,1e-05,0.98777,1e-05,0.55123,0.10979,24.57759,35.89367,7.69589
gay,1e-05,0.8128,1e-05,0.08073,0.35776,178.49871,206.37487,16.50811
electable,1e-05,1.06384,1e-05,0.65791,0.49756,182.28183,404.93263,13.72557
godly,1e-05,0.8731,1e-05,0.33878,0.14484,64.17432,87.0646,2.38304
outdoors,1e-05,1.19786,1e-05,0.07963,1.37965,711.93491,317.14049,9.61773
