attribute,mse_2img,average_mse
trustworthy,4357.88134765625,3733.837627704327
attractive,3115.61181640625,2997.249323918269
dominant,1271.589111328125,2407.542273888221
smart,2731.7529296875,3306.7493990384614
age,594.8033447265625,1392.4937931941106
gender,2906.8271484375,3249.248291015625
weight,1546.083984375,2283.556133563702
typical,2863.2705078125,3491.044452373798
happy,3136.089599609375,3573.3461162860576
familiar,1429.788818359375,1791.6693115234375
outgoing,2761.21435546875,3251.252460186298
memorable,2130.181396484375,2267.0077185997598
well-groomed,4325.4345703125,4832.4396409254805
long-haired,1116.1920166015625,2308.1082669771636
smug,1188.91162109375,1654.8428391676682
dorky,871.4608154296875,1239.8797983022837
skin-color,950.4397583007812,985.6732318584735
hair-color,8113.90185546875,4140.087890625
alert,3422.13232421875,3471.3667931189902
cute,3569.791015625,2790.5404522235576
privileged,2567.96044921875,3558.517578125
liberal,3310.23779296875,2892.511042668269
asian,4482.8876953125,1558.9130859375
middle-eastern,1640.8424072265625,1560.8595252403845
hispanic,2613.72412109375,1793.517108623798
islander,3216.56591796875,1363.8257821890024
native,2992.4267578125,1067.7592350886418
black,117.21453857421875,455.7583293914795
white,2616.655029296875,5173.057786207933
looks-like-you,589.450927734375,466.4006159855769
gay,979.8336181640625,1250.142061673678
electable,1260.0103759765625,2950.207312950721
godly,3077.21875,3653.5030235877402
outdoors,5189.02587890625,3297.458308293269
