attribute,mse_2img,average_mse
trustworthy,57.81797409057617,179.30688007061298
attractive,0.4823196530342102,159.65599646935095
dominant,344.88812255859375,173.5940140944261
smart,35.589115142822266,91.37223287729117
age,236.72471618652344,233.39478008563702
gender,570.0223999023438,866.1052574744591
weight,61.71650695800781,136.97093083308295
typical,43.56281280517578,79.12047342153696
happy,19.3079776763916,415.30643873948316
familiar,22.930530548095703,67.86671330378606
outgoing,16.71436309814453,215.27878981370193
memorable,34.338375091552734,64.21746268639198
well-groomed,36.67424774169922,128.52491642878607
long-haired,154.38351440429688,513.9714801494891
smug,198.59271240234375,178.06946681096002
dorky,17.702308654785156,171.70023287259616
skin-color,59.710052490234375,117.3554446880634
hair-color,36.3392448425293,312.01300048828125
alert,0.06657349318265915,81.21912648127629
cute,210.99481201171875,342.95025869516223
privileged,68.45343017578125,121.556213085468
liberal,9.503729820251465,111.06296656681941
asian,2043.4212646484375,847.4422983022837
middle-eastern,16.39434814453125,405.25105637770434
hispanic,8.352618217468262,396.0483727088341
islander,948.2230224609375,446.60621760441705
native,783.5283203125,344.7910367525541
black,12.073843002319336,308.59145296536957
white,1381.1357421875,887.99462890625
looks-like-you,24.27007484436035,35.89366546043983
gay,147.1743927001953,206.37486736591046
electable,450.46453857421875,404.93263362004205
godly,38.89707946777344,87.0646010178786
outdoors,160.58216857910156,317.14048649714545
